kode_provinsi,nama_provinsi,tahun,indeks_pelayanan_publik,indeks_pembangunan_literasi,indeks_daya_saing_digital,indeks_masyarakat_digital
11,ACEH,2022,4.01,58.46,32.7,40.00826
11,ACEH,2023,4.34,66.23,37.9,44.60057
11,ACEH,2024,4.45,72.42,36.3,43.59
51,BALI,2022,4.0,70.88,44.9,47.96314
51,BALI,2023,4.21,62.7,47.3,45.59862
51,BALI,2024,4.41,66.05,49.9,49.05
36,BANTEN,2022,3.99,71.03,47.0,44.38427
36,BANTEN,2023,3.74,52.5,50.7,44.30409
36,BANTEN,2024,3.73,61.88,50.3,45.7
17,BENGKULU,2022,4.4,66.32,31.3,39.81645
17,BENGKULU,2023,3.7,59.84,39.7,45.2111
17,BENGKULU,2024,3.94,65.96,38.5,43.57
34,DI YOGYAKARTA,2022,4.61,83.63,49.2,43.38826
34,DI YOGYAKARTA,2023,4.57,85.09,54.2,47.16554
34,DI YOGYAKARTA,2024,4.62,86.39,51.2,47.1
31,DKI JAKARTA,2022,4.4,80.87,73.2,47.97688
31,DKI JAKARTA,2023,4.03,70.99,76.6,
31,DKI JAKARTA,2024,4.53,73.07,78.2,50.5
75,GORONTALO,2022,4.34,61.95,33.5,38.65513
75,GORONTALO,2023,4.24,70.39,35.3,41.45899
75,GORONTALO,2024,4.04,77.46,38.1,44.21
15,JAMBI,2022,4.04,72.23,31.9,33.54117
15,JAMBI,2023,3.28,62.84,39.8,42.78274
15,JAMBI,2024,3.68,65.43,38.1,44.24
32,JAWA BARAT,2022,4.62,72.73,58.5,43.27645
32,JAWA BARAT,2023,4.53,60.02,62.2,44.99333
32,JAWA BARAT,2024,4.76,72.76,60.0,46.66
33,JAWA TENGAH,2022,4.54,74.36,38.0,46.13185
33,JAWA TENGAH,2023,4.11,64.4,48.1,47.20122
33,JAWA TENGAH,2024,4.53,70.57,45.7,47.42
35,JAWA TIMUR,2022,4.58,74.73,45.6,39.41612
35,JAWA TIMUR,2023,4.36,75.18,54.1,45.59361
35,JAWA TIMUR,2024,4.63,78.6,52.3,46.07
61,KALIMANTAN BARAT,2022,4.42,65.32,29.7,37.91712
61,KALIMANTAN BARAT,2023,4.32,67.08,38.4,39.21104
61,KALIMANTAN BARAT,2024,4.26,75.15,34.1,44.67
63,KALIMANTAN SELATAN,2022,4.27,75.71,36.5,35.54338
63,KALIMANTAN SELATAN,2023,4.03,71.29,40.2,42.7784
63,KALIMANTAN SELATAN,2024,4.56,81.16,38.6,44.62
62,KALIMANTAN TENGAH,2022,3.49,54.26,32.6,35.38051
62,KALIMANTAN TENGAH,2023,2.11,66.68,36.1,41.51532
62,KALIMANTAN TENGAH,2024,2.67,72.5,35.5,41.09
64,KALIMANTAN TIMUR,2022,4.0,69.22,44.0,45.06079
64,KALIMANTAN TIMUR,2023,4.0,68.77,45.4,43.40374
64,KALIMANTAN TIMUR,2024,3.75,78.34,46.8,44.45
65,KALIMANTAN UTARA,2022,3.8,66.56,35.3,37.81059
65,KALIMANTAN UTARA,2023,3.41,65.39,38.0,40.56468
65,KALIMANTAN UTARA,2024,4.22,66.73,39.1,43.3
19,KEPULAUAN BANGKA BELITUNG,2022,4.45,61.66,32.2,37.65722
19,KEPULAUAN BANGKA BELITUNG,2023,3.5,77.5,39.5,45.09076
19,KEPULAUAN BANGKA BELITUNG,2024,4.23,84.59,38.2,47.62
21,KEPULAUAN RIAU,2022,4.34,72.87,40.8,43.35058
21,KEPULAUAN RIAU,2023,4.13,62.52,45.9,44.64771
21,KEPULAUAN RIAU,2024,4.26,74.24,47.8,45.43
18,LAMPUNG,2022,4.31,59.99,33.8,33.44538
18,LAMPUNG,2023,4.05,59.25,37.5,44.0815
18,LAMPUNG,2024,4.27,64.81,34.9,42.07
81,MALUKU,2022,3.91,49.77,32.5,36.48206
81,MALUKU,2023,1.77,63.97,39.4,42.88668
81,MALUKU,2024,2.18,58.55,36.1,41.69
82,MALUKU UTARA,2022,4.19,46.81,30.3,20.90195
82,MALUKU UTARA,2023,2.92,57.0,33.8,44.07108
82,MALUKU UTARA,2024,2.8,61.7,31.1,38.32
52,NUSA TENGGARA BARAT,2022,3.71,67.42,32.3,40.40861
52,NUSA TENGGARA BARAT,2023,3.97,66.32,38.1,45.03489
52,NUSA TENGGARA BARAT,2024,4.42,60.42,35.5,45.59
53,NUSA TENGGARA TIMUR,2022,2.81,67.61,32.5,32.54755
53,NUSA TENGGARA TIMUR,2023,3.6,60.53,34.2,39.33767
53,NUSA TENGGARA TIMUR,2024,3.56,62.62,34.8,42.32
94,PAPUA,2022,3.25,20.02,24.9,33.68546
94,PAPUA,2023,1.11,47.57,31.9,40.64956
91,PAPUA BARAT,2022,3.92,37.58,34.3,34.4863
91,PAPUA BARAT,2023,1.7,64.29,35.8,40.65282
91,PAPUA BARAT,2024,3.32,65.86,32.6,41.01
14,RIAU,2022,3.71,70.98,35.2,36.58352
14,RIAU,2023,4.04,66.88,38.2,43.79765
14,RIAU,2024,4.12,69.24,38.7,44.42
76,SULAWESI BARAT,2022,3.49,41.36,27.5,29.86674
76,SULAWESI BARAT,2023,3.37,62.73,29.0,42.06619
76,SULAWESI BARAT,2024,3.32,63.65,30.3,41.65
73,SULAWESI SELATAN,2022,4.34,78.49,39.8,32.12562
73,SULAWESI SELATAN,2023,4.34,86.74,42.9,41.56696
73,SULAWESI SELATAN,2024,4.12,88.24,43.0,42.26
72,SULAWESI TENGAH,2022,3.54,67.96,33.4,37.39595
72,SULAWESI TENGAH,2023,3.42,63.94,32.3,43.6503
72,SULAWESI TENGAH,2024,4.34,71.7,31.8,43.82
74,SULAWESI TENGGARA,2022,4.33,69.93,36.1,36.36963
74,SULAWESI TENGGARA,2023,3.51,67.53,35.7,44.30716
74,SULAWESI TENGGARA,2024,2.83,72.31,37.8,43.44
71,SULAWESI UTARA,2022,4.14,66.07,39.8,32.48615
71,SULAWESI UTARA,2023,4.2,59.15,39.5,42.05974
71,SULAWESI UTARA,2024,4.2,62.54,38.5,42.86
13,SUMATERA BARAT,2022,3.84,69.37,39.8,42.26243
13,SUMATERA BARAT,2023,3.34,77.31,43.1,46.0635
13,SUMATERA BARAT,2024,3.64,82.47,42.0,44.13
16,SUMATERA SELATAN,2022,4.53,74.35,33.4,32.73825
16,SUMATERA SELATAN,2023,4.35,68.64,38.5,42.04694
16,SUMATERA SELATAN,2024,4.6,72.24,36.4,41.0
12,SUMATERA UTARA,2022,4.0,51.72,38.2,36.27358
12,SUMATERA UTARA,2023,3.51,56.1,43.9,44.26855
12,SUMATERA UTARA,2024,3.9,62.39,46.0,41.22
