id,kode_provinsi,nama_provinsi,indeks_pembangunan_literasi,satuan,tahun
1,11,ACEH,12.11,POIN,2020
2,12,SUMATERA UTARA,14.45,POIN,2020
3,13,SUMATERA BARAT,9.85,POIN,2020
4,14,RIAU,10.96,POIN,2020
5,15,JAMBI,16.47,POIN,2020
6,16,SUMATERA SELATAN,12.36,POIN,2020
7,17,BENGKULU,11.16,POIN,2020
8,18,LAMPUNG,11.98,POIN,2020
9,19,KEPULAUAN BANGKA BELITUNG,28.83,POIN,2020
10,21,KEPULAUAN RIAU,14.45,POIN,2020
11,31,DKI JAKARTA,18.91,POIN,2020
12,32,JAWA BARAT,8.48,POIN,2020
13,33,JAWA TENGAH,13.54,POIN,2020
14,34,DI YOGYAKARTA,18.0,POIN,2020
15,35,JAWA TIMUR,13.44,POIN,2020
16,36,BANTEN,8.9,POIN,2020
17,51,BALI,11.12,POIN,2020
18,52,NUSA TENGGARA BARAT,13.89,POIN,2020
19,53,NUSA TENGGARA TIMUR,8.95,POIN,2020
20,61,KALIMANTAN BARAT,14.04,POIN,2020
21,62,KALIMANTAN TENGAH,14.81,POIN,2020
22,63,KALIMANTAN SELATAN,48.7,POIN,2020
23,64,KALIMANTAN TIMUR,20.78,POIN,2020
24,65,KALIMANTAN UTARA,14.42,POIN,2020
25,71,SULAWESI UTARA,8.33,POIN,2020
26,72,SULAWESI TENGAH,8.9,POIN,2020
27,73,SULAWESI SELATAN,12.32,POIN,2020
28,74,SULAWESI TENGGARA,10.91,POIN,2020
29,75,GORONTALO,10.91,POIN,2020
30,76,SULAWESI BARAT,14.21,POIN,2020
31,81,MALUKU,17.51,POIN,2020
32,82,MALUKU UTARA,12.55,POIN,2020
33,91,PAPUA BARAT,10.5,POIN,2020
34,94,PAPUA,6.71,POIN,2020
35,11,ACEH,15.12,POIN,2021
36,12,SUMATERA UTARA,7.94,POIN,2021
37,13,SUMATERA BARAT,14.17,POIN,2021
38,14,RIAU,20.67,POIN,2021
39,15,JAMBI,14.03,POIN,2021
40,16,SUMATERA SELATAN,14.57,POIN,2021
41,17,BENGKULU,15.86,POIN,2021
42,18,LAMPUNG,10.72,POIN,2021
43,19,KEPULAUAN BANGKA BELITUNG,18.57,POIN,2021
44,21,KEPULAUAN RIAU,21.33,POIN,2021
45,31,DKI JAKARTA,19.31,POIN,2021
46,32,JAWA BARAT,9.64,POIN,2021
47,33,JAWA TENGAH,11.33,POIN,2021
48,34,DI YOGYAKARTA,21.85,POIN,2021
49,35,JAWA TIMUR,14.78,POIN,2021
50,36,BANTEN,9.04,POIN,2021
51,51,BALI,11.91,POIN,2021
52,52,NUSA TENGGARA BARAT,17.66,POIN,2021
53,53,NUSA TENGGARA TIMUR,11.8,POIN,2021
54,61,KALIMANTAN BARAT,13.09,POIN,2021
55,62,KALIMANTAN TENGAH,13.82,POIN,2021
56,63,KALIMANTAN SELATAN,58.13,POIN,2021
57,64,KALIMANTAN TIMUR,17.74,POIN,2021
58,65,KALIMANTAN UTARA,16.71,POIN,2021
59,71,SULAWESI UTARA,9.79,POIN,2021
60,72,SULAWESI TENGAH,10.93,POIN,2021
61,73,SULAWESI SELATAN,11.91,POIN,2021
62,74,SULAWESI TENGGARA,13.93,POIN,2021
63,75,GORONTALO,22.53,POIN,2021
64,76,SULAWESI BARAT,17.64,POIN,2021
65,81,MALUKU,35.75,POIN,2021
66,82,MALUKU UTARA,14.27,POIN,2021
67,91,PAPUA BARAT,10.41,POIN,2021
68,94,PAPUA,5.87,POIN,2021
69,11,ACEH,58.46,POIN,2022
70,12,SUMATERA UTARA,51.72,POIN,2022
71,13,SUMATERA BARAT,69.37,POIN,2022
72,14,RIAU,70.98,POIN,2022
73,15,JAMBI,72.23,POIN,2022
74,16,SUMATERA SELATAN,74.35,POIN,2022
75,17,BENGKULU,66.32,POIN,2022
76,18,LAMPUNG,59.99,POIN,2022
77,19,KEPULAUAN BANGKA BELITUNG,61.66,POIN,2022
78,21,KEPULAUAN RIAU,72.87,POIN,2022
79,31,DKI JAKARTA,80.87,POIN,2022
80,32,JAWA BARAT,72.73,POIN,2022
81,33,JAWA TENGAH,74.36,POIN,2022
82,34,DI YOGYAKARTA,83.63,POIN,2022
83,35,JAWA TIMUR,74.73,POIN,2022
84,36,BANTEN,71.03,POIN,2022
85,51,BALI,70.88,POIN,2022
86,52,NUSA TENGGARA BARAT,67.42,POIN,2022
87,53,NUSA TENGGARA TIMUR,67.61,POIN,2022
88,61,KALIMANTAN BARAT,65.32,POIN,2022
89,62,KALIMANTAN TENGAH,54.26,POIN,2022
90,63,KALIMANTAN SELATAN,75.71,POIN,2022
91,64,KALIMANTAN TIMUR,69.22,POIN,2022
92,65,KALIMANTAN UTARA,66.56,POIN,2022
93,71,SULAWESI UTARA,66.07,POIN,2022
94,72,SULAWESI TENGAH,67.96,POIN,2022
95,73,SULAWESI SELATAN,78.49,POIN,2022
96,74,SULAWESI TENGGARA,69.93,POIN,2022
97,75,GORONTALO,61.95,POIN,2022
98,76,SULAWESI BARAT,41.36,POIN,2022
99,81,MALUKU,49.77,POIN,2022
100,82,MALUKU UTARA,46.81,POIN,2022
101,91,PAPUA BARAT,37.58,POIN,2022
102,94,PAPUA,20.02,POIN,2022
103,11,ACEH,66.23,POIN,2023
104,12,SUMATERA UTARA,56.1,POIN,2023
105,13,SUMATERA BARAT,77.31,POIN,2023
106,14,RIAU,66.88,POIN,2023
107,15,JAMBI,62.84,POIN,2023
108,16,SUMATERA SELATAN,68.64,POIN,2023
109,17,BENGKULU,59.84,POIN,2023
110,18,LAMPUNG,59.25,POIN,2023
111,19,KEPULAUAN BANGKA BELITUNG,77.5,POIN,2023
112,21,KEPULAUAN RIAU,62.52,POIN,2023
113,31,DKI JAKARTA,70.99,POIN,2023
114,32,JAWA BARAT,60.02,POIN,2023
115,33,JAWA TENGAH,64.4,POIN,2023
116,34,DI YOGYAKARTA,85.09,POIN,2023
117,35,JAWA TIMUR,75.18,POIN,2023
118,36,BANTEN,52.5,POIN,2023
119,51,BALI,62.7,POIN,2023
120,52,NUSA TENGGARA BARAT,66.32,POIN,2023
121,53,NUSA TENGGARA TIMUR,60.53,POIN,2023
122,61,KALIMANTAN BARAT,67.08,POIN,2023
123,62,KALIMANTAN TENGAH,66.68,POIN,2023
124,63,KALIMANTAN SELATAN,71.29,POIN,2023
125,64,KALIMANTAN TIMUR,68.77,POIN,2023
126,65,KALIMANTAN UTARA,65.39,POIN,2023
127,71,SULAWESI UTARA,59.15,POIN,2023
128,72,SULAWESI TENGAH,63.94,POIN,2023
129,73,SULAWESI SELATAN,86.74,POIN,2023
130,74,SULAWESI TENGGARA,67.53,POIN,2023
131,75,GORONTALO,70.39,POIN,2023
132,76,SULAWESI BARAT,62.73,POIN,2023
133,81,MALUKU,63.97,POIN,2023
134,82,MALUKU UTARA,57.0,POIN,2023
135,91,PAPUA BARAT,64.29,POIN,2023
136,92,PAPUA BARAT DAYA,52.53,POIN,2023
137,94,PAPUA,47.57,POIN,2023
138,95,PAPUA SELATAN,47.34,POIN,2023
139,96,PAPUA TENGAH,47.02,POIN,2023
140,97,PAPUA PEGUNUNGAN,29.49,POIN,2023
141,11,ACEH,72.42,POIN,2024
142,12,SUMATERA UTARA,62.39,POIN,2024
143,13,SUMATERA BARAT,82.47,POIN,2024
144,14,RIAU,69.24,POIN,2024
145,15,JAMBI,65.43,POIN,2024
146,16,SUMATERA SELATAN,72.24,POIN,2024
147,17,BENGKULU,65.96,POIN,2024
148,18,LAMPUNG,64.81,POIN,2024
149,19,KEPULAUAN BANGKA BELITUNG,84.59,POIN,2024
150,21,KEPULAUAN RIAU,74.24,POIN,2024
151,31,DKI JAKARTA,73.07,POIN,2024
152,32,JAWA BARAT,72.76,POIN,2024
153,33,JAWA TENGAH,70.57,POIN,2024
154,34,DI YOGYAKARTA,86.39,POIN,2024
155,35,JAWA TIMUR,78.6,POIN,2024
156,36,BANTEN,61.88,POIN,2024
157,51,BALI,66.05,POIN,2024
158,52,NUSA TENGGARA BARAT,60.42,POIN,2024
159,53,NUSA TENGGARA TIMUR,62.62,POIN,2024
160,61,KALIMANTAN BARAT,75.15,POIN,2024
161,62,KALIMANTAN TENGAH,72.5,POIN,2024
162,63,KALIMANTAN SELATAN,81.16,POIN,2024
163,64,KALIMANTAN TIMUR,78.34,POIN,2024
164,65,KALIMANTAN UTARA,66.73,POIN,2024
165,71,SULAWESI UTARA,62.54,POIN,2024
166,72,SULAWESI TENGAH,71.7,POIN,2024
167,73,SULAWESI SELATAN,88.24,POIN,2024
168,74,SULAWESI TENGGARA,72.31,POIN,2024
169,75,GORONTALO,77.46,POIN,2024
170,76,SULAWESI BARAT,63.65,POIN,2024
171,81,MALUKU,58.55,POIN,2024
172,82,MALUKU UTARA,61.7,POIN,2024
173,91,PAPUA BARAT,65.86,POIN,2024
174,92,PAPUA BARAT DAYA,54.14,POIN,2024
175,94,PAPUA,60.75,POIN,2024
176,95,PAPUA SELATAN,49.78,POIN,2024
177,96,PAPUA TENGAH,48.93,POIN,2024
178,97,PAPUA PEGUNUNGAN,35.25,POIN,2024
